materials,names,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,spectrum_17,spectrum_18,spectrum_19,spectrum_20,spectrum_21,spectrum_22,spectrum_23,spectrum_24,spectrum_25,spectrum_26,spectrum_27,spectrum_28,spectrum_29,spectrum_30,spectrum_31
0,Cardboard,0.06639068,0.045315385,0.09530043,0.05846473,0.039550643,0.050371263,0.036892917,0.07135802,0.052694432,0.054393444,0.058857262,0.051668476,0.050539687,0.054168437,0.04576628,0.06823356,0.08207312,0.06837464,0.054798484,0.07429711,0.04225494,0.069147065,0.046200596,0.080267504,0.06252363,0.079659455,0.05109047,0.07643433,0.08886526,0.07092694,0.0683902,0.038281243
0,Cardboard,0.070474334,0.047448624,0.10117206,0.061575677,0.041452277,0.052918922,0.038729273,0.07534376,0.05558509,0.056968506,0.061970454,0.05442126,0.053104352,0.05673914,0.048217718,0.07190557,0.08669123,0.07205969,0.05765514,0.07885061,0.044181406,0.073321894,0.04872893,0.08536839,0.06623101,0.084434226,0.053990826,0.080646664,0.0941789,0.07506344,0.07251548,0.04024969
0,Cardboard,0.06974714,0.04698348,0.10007817,0.060980655,0.041079573,0.052432254,0.038400263,0.07457812,0.05502359,0.056410514,0.061359428,0.053909928,0.05260081,0.05618723,0.04777134,0.07119374,0.08577063,0.071325876,0.05712079,0.07804386,0.043770775,0.072562374,0.048270594,0.084447555,0.06555277,0.08355387,0.05346517,0.07980574,0.09319077,0.07429457,0.07178272,0.039875194
0,Cardboard,0.06963167,0.0469708,0.09993935,0.060916565,0.041045297,0.05237914,0.038349792,0.07449776,0.054968767,0.05639331,0.061303705,0.053844564,0.0525546,0.05616717,0.047707964,0.071123205,0.085696094,0.07126617,0.05705498,0.077912904,0.04375462,0.07245348,0.04820368,0.084309764,0.06545789,0.083437175,0.053388834,0.07973779,0.09306425,0.07419585,0.07166561,0.03983298
0,Cardboard,0.06873087,0.04654313,0.09866883,0.060252123,0.040643726,0.05183445,0.037946593,0.07364792,0.054355428,0.055875167,0.060646437,0.053249102,0.05201271,0.055647474,0.047172938,0.07034347,0.08472795,0.070493564,0.056438718,0.076906726,0.043364294,0.071540914,0.047650393,0.08319044,0.06464918,0.082400784,0.052754443,0.07885454,0.09191385,0.07329998,0.070755556,0.039411154
0,Cardboard,0.06245232,0.04337949,0.089684375,0.055506278,0.03776583,0.047973856,0.0351163,0.06759703,0.049962375,0.052078012,0.055948533,0.04904038,0.048154738,0.05185147,0.043413594,0.06479342,0.07772964,0.064907536,0.052074462,0.06990523,0.040499706,0.06514754,0.04377225,0.07534261,0.058967818,0.07510037,0.048295695,0.07251649,0.08379785,0.06698694,0.06440481,0.036418207
0,Cardboard,0.062598705,0.04345994,0.089900404,0.055621233,0.037835725,0.04806527,0.0351828,0.06774183,0.050068926,0.052172463,0.05606049,0.049139846,0.04824625,0.051945545,0.043501418,0.064925306,0.0779034,0.06504536,0.052178547,0.07006732,0.040571067,0.06529745,0.04386325,0.07552965,0.05910284,0.07527272,0.048401315,0.07267017,0.08398995,0.06713563,0.064553484,0.036489747
0,Cardboard,0.06262869,0.043506425,0.08996006,0.0556589,0.037863232,0.048097085,0.03519673,0.06779342,0.050108153,0.052229043,0.05610608,0.049168605,0.048283815,0.05200005,0.043523237,0.064976335,0.0779734,0.06510044,0.05220981,0.07009908,0.04061102,0.06533441,0.043884493,0.07556836,0.059135746,0.075322084,0.048426002,0.07273517,0.08404511,0.06717783,0.064584255,0.03651285
0,Cardboard,0.07291639,0.048041627,0.104278184,0.0630807,0.042313054,0.05416664,0.039794896,0.07726369,0.05692779,0.05772168,0.06337415,0.05588354,0.05426748,0.057529632,0.049589586,0.07363431,0.088641316,0.07360957,0.05914428,0.08159594,0.044785418,0.07568492,0.050167654,0.08830526,0.06829747,0.08703435,0.05563665,0.082431324,0.09701449,0.07726909,0.074988134,0.041229356
0,Cardboard,0.072581604,0.047987416,0.10387086,0.06289039,0.042205557,0.054007303,0.039650515,0.07702036,0.05676003,0.057649236,0.06319988,0.055690754,0.054122187,0.057450507,0.049405947,0.07341571,0.088408425,0.07342588,0.058949385,0.0812198,0.044724803,0.07536702,0.049973693,0.08790899,0.06802095,0.0866891,0.055415466,0.08221717,0.09663971,0.07697815,0.0746497,0.041102894
0,Cardboard,0.07261994,0.048014503,0.10392963,0.06292293,0.042226236,0.05403439,0.03966854,0.07706152,0.056789916,0.05768173,0.06323301,0.055718355,0.054150134,0.057482928,0.04942993,0.07345422,0.08845863,0.0734662,0.05897821,0.08126269,0.044748247,0.07540724,0.049998622,0.08795893,0.068057746,0.08673508,0.0554436,0.08226393,0.0966925,0.07701961,0.074687965,0.04112394
0,Cardboard,0.06843802,0.046132486,0.09809967,0.059900388,0.040401407,0.051548295,0.037807252,0.07318602,0.054002568,0.055388615,0.06024768,0.052983865,0.051685262,0.05517687,0.04696512,0.06989902,0.08409348,0.069988914,0.056152385,0.076591805,0.043018244,0.07119131,0.047444295,0.08278977,0.064328946,0.08195756,0.052515775,0.078274705,0.09140339,0.072904445,0.070460886,0.039197046
0,Cardboard,0.068503805,0.046117693,0.098165095,0.059925314,0.040411953,0.051569607,0.03783599,0.073215306,0.054020062,0.0553726,0.06026357,0.05301516,0.051699325,0.055164047,0.04699847,0.06992274,0.08410808,0.07000082,0.05618264,0.07666748,0.04300916,0.07124855,0.047480717,0.082865916,0.06437858,0.082013436,0.052556545,0.078288734,0.09146364,0.072951965,0.07052693,0.039215412
0,Cardboard,0.069280684,0.04652508,0.099283226,0.060517743,0.04077471,0.052055012,0.038184036,0.073976524,0.054572284,0.055865213,0.060858153,0.05353923,0.0521888,0.055655383,0.047464516,0.07062436,0.08499001,0.07070385,0.056726843,0.077533014,0.04337771,0.072043575,0.047961,0.083834425,0.06508355,0.0829253,0.05310827,0.0790928,0.092476204,0.07373941,0.071312785,0.03958955
0,Cardboard,0.062056486,0.04299877,0.08900437,0.055115256,0.037504874,0.047659233,0.034933258,0.06709069,0.04958082,0.051626317,0.055533253,0.048729174,0.047812574,0.05141044,0.04315866,0.06431727,0.07706449,0.06438537,0.051738385,0.06947713,0.0401725,0.06470954,0.043511458,0.07481992,0.058567848,0.07456302,0.047990285,0.0719236,0.08319618,0.06652554,0.063998185,0.03617834
0,Cardboard,0.06259516,0.043358818,0.089835845,0.055569842,0.037791368,0.04802443,0.035179414,0.06767069,0.050009657,0.052053545,0.055991754,0.049112335,0.04818927,0.05183274,0.043489564,0.064852335,0.0777795,0.06495079,0.052143842,0.07007059,0.04048945,0.06527504,0.043852575,0.07551171,0.059077844,0.07522731,0.048386578,0.07256086,0.08393567,0.06709669,0.064548016,0.03646044
0,Cardboard,0.062916495,0.04352316,0.09030091,0.055815414,0.037940115,0.048221808,0.0353255,0.067980625,0.050235767,0.052248448,0.056230552,0.049327873,0.048385534,0.052027754,0.043681532,0.065134756,0.0781436,0.065240346,0.052368645,0.07042792,0.040636983,0.065602146,0.04405181,0.07591819,0.059371036,0.07560075,0.048616603,0.07288593,0.08435133,0.06741926,0.064874016,0.03661476
0,Cardboard,0.06839893,0.0462958,0.09815007,0.059963103,0.040458653,0.05159761,0.03779431,0.07327522,0.05408045,0.055579178,0.06034409,0.053006075,0.05176296,0.055355977,0.046964537,0.06999419,0.084268086,0.07012701,0.05618345,0.07653967,0.04314867,0.07118772,0.047437154,0.08276485,0.064331844,0.08198628,0.052509967,0.07843355,0.09144555,0.0729356,0.070421286,0.03922948
0,Cardboard,0.068823725,0.046533108,0.09876996,0.060294293,0.040662866,0.0518686,0.03798541,0.073700696,0.054390293,0.055865128,0.060678713,0.053296406,0.052038353,0.05564036,0.04722127,0.070387356,0.08476719,0.07052495,0.056485448,0.077012375,0.043361604,0.07162512,0.047701355,0.08329705,0.06472058,0.08248951,0.0528134,0.07888841,0.09200629,0.07337166,0.070850566,0.03943832
0,Cardboard,0.069237724,0.046643976,0.09930403,0.060556527,0.040812403,0.05208496,0.038168892,0.074031755,0.05462254,0.05600315,0.060921814,0.05354755,0.052240007,0.055784628,0.047456603,0.07068494,0.085109495,0.07079876,0.05674168,0.0774791,0.043471586,0.07202757,0.04794796,0.08380057,0.065074585,0.082931004,0.05309485,0.0792014,0.09249155,0.07375053,0.071269,0.039608575
0,Cardboard,0.063664004,0.044082943,0.09147974,0.05647236,0.03836024,0.048750594,0.03566477,0.06882873,0.05086782,0.052912604,0.056914672,0.04987683,0.048944086,0.052679304,0.044148672,0.06592561,0.079202645,0.06607928,0.052947424,0.07124769,0.04112611,0.06639829,0.04452783,0.076875046,0.060085144,0.07654964,0.049170043,0.07383548,0.08541156,0.06823752,0.06563319,0.03702014
