[10.254446029663086, 2.4248251914978027]
[6.699888706207275, 1.5462266206741333]
Glass1 Predictions mean: 2.2, min: 1.9, max: 2.41, range: 0.52 - Actual: 0.2
Glass1 Predictions mean: 2.21, min: 1.9, max: 2.42, range: 0.52 - Actual: 0.2
Glass1 Predictions mean: 2.21, min: 1.9, max: 2.42, range: 0.52 - Actual: 0.2
Glass1 Predictions mean: 2.21, min: 1.9, max: 2.42, range: 0.52 - Actual: 0.2
Glass1 Predictions mean: 2.2, min: 1.91, max: 2.42, range: 0.51 - Actual: 0.2
Glass1 Predictions mean: 2.2, min: 1.91, max: 2.41, range: 0.5 - Actual: 0.2
Glass1 Predictions mean: 2.2, min: 1.91, max: 2.41, range: 0.5 - Actual: 0.2
Glass1 Predictions mean: 2.24, min: 1.89, max: 2.43, range: 0.54 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 1.92, max: 2.42, range: 0.49 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 1.92, max: 2.42, range: 0.5 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.08, max: 2.68, range: 0.59 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.08, max: 2.68, range: 0.6 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.08, max: 2.66, range: 0.58 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.12, max: 2.68, range: 0.56 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.08, max: 2.67, range: 0.6 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.09, max: 2.64, range: 0.55 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.08, max: 2.68, range: 0.6 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.09, max: 2.65, range: 0.56 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.08, max: 2.65, range: 0.57 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.09, max: 2.64, range: 0.55 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.1, max: 2.64, range: 0.55 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.09, max: 2.64, range: 0.55 - Actual: 0.2
Glass1 Predictions mean: 2.25, min: 2.01, max: 2.6, range: 0.59 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.11, max: 2.67, range: 0.56 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.09, max: 2.65, range: 0.55 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.08, max: 2.68, range: 0.6 - Actual: 0.2
