materials,names,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,spectrum_17,spectrum_18,spectrum_19,spectrum_20,spectrum_21,spectrum_22,spectrum_23,spectrum_24,spectrum_25,spectrum_26,spectrum_27,spectrum_28,spectrum_29,spectrum_30,spectrum_31,spectrum_32,spectrum_33,spectrum_34,spectrum_35,spectrum_36,spectrum_37,spectrum_38,spectrum_39,spectrum_40,spectrum_41,spectrum_42,spectrum_43,spectrum_44,spectrum_45,spectrum_46,spectrum_47,spectrum_48,spectrum_49,spectrum_50,spectrum_51,spectrum_52,spectrum_53,spectrum_54,spectrum_55,spectrum_56,spectrum_57,spectrum_58,spectrum_59,spectrum_60,spectrum_61,spectrum_62,spectrum_63
0,Cardboard,0.075492494,0.0013360827,0.0016493348,0.0028312062,0.0021179274,0.0023484041,0.0019071056,0.0023070003,0.0060505215,0.0022382694,0.0018825757,0.0017331236,0.0021805172,0.062457137,0.0022138383,0.0018241919,0.0021024644,0.0020250548,0.0017371683,0.0023589872,0.030538075,0.007370802,0.007373611,0.002034752,0.0016758641,0.002387941,0.0016469941,0.0021492827,0.07652829,0.0023017852,0.0016028496,0.018975807,0.0022891262,0.0023070406,0.001864329,0.0022238176,0.002670771,0.0014948125,0.004144901,0.003074122,0.002196601,0.002461247,0.0021035874,0.03098493,0.0018605058,0.0014604179,0.0022547676,0.0023459943,0.010042617,0.002299979,0.07796321,0.048429158,0.0017521766,0.0015525091,0.002581303,0.002169537,0.0017976717,0.0020195504,0.0035906758,0.017415138,0.00154808,0.001961259,0.002558465,0.0017611578
0,Cardboard,0.065189786,0.00076567347,0.0009643437,0.001553443,0.0011570108,0.0013423236,0.0010966136,0.0012186692,0.004089225,0.001141451,0.0010666604,0.0009901635,0.0011850547,0.053002425,0.0013632708,0.0010765372,0.0011818233,0.0011691316,0.0009442676,0.0013717152,0.023265041,0.0048773936,0.0048551136,0.001098382,0.00097489386,0.0014270685,0.0009512306,0.0011591641,0.0665134,0.0013775338,0.000897065,0.0141054345,0.0011659436,0.0013934035,0.001101323,0.0012999318,0.0014840335,0.0008982581,0.0026336573,0.0019321091,0.0012885291,0.0013092291,0.0011296776,0.024594745,0.0010464895,0.00084832165,0.0011737971,0.0012538335,0.0070541156,0.0013465836,0.071100555,0.040238816,0.000995221,0.0008880558,0.001377164,0.0011926668,0.0010642431,0.0011904167,0.0022559091,0.012961447,0.0009179461,0.0011859637,0.0015889973,0.0010211344
0,Cardboard,0.06854633,0.00084229873,0.0010576672,0.0017020175,0.0012686617,0.0014683896,0.0012035776,0.0013399178,0.0044179903,0.0012576095,0.0011725783,0.001085756,0.0013026884,0.055874925,0.0014897926,0.001177878,0.001296957,0.0012814484,0.0010415099,0.0014988583,0.024783256,0.0052777883,0.0052589686,0.0012070581,0.0010709199,0.0015613962,0.0010443691,0.001274279,0.06987471,0.0015026367,0.0009897004,0.015082351,0.0012865303,0.0015231408,0.0012043611,0.0014203725,0.0016254523,0.0009854678,0.0028638127,0.00210494,0.0014116894,0.001436657,0.0012433088,0.02616696,0.0011479274,0.00093375455,0.0012901814,0.0013754856,0.007582507,0.0014702919,0.074336104,0.042434964,0.0010919694,0.00097550475,0.0015094654,0.0013091468,0.001166033,0.0013035882,0.0024545512,0.013830135,0.0010069093,0.0012955125,0.0017296852,0.0011202365
0,Cardboard,0.06814976,0.0008367391,0.0010508817,0.0016929165,0.0012618353,0.0014600251,0.0011959699,0.0013327682,0.0043901205,0.0012511606,0.0011651148,0.0010792026,0.0012952536,0.05554386,0.0014798711,0.0011705869,0.0012892473,0.0012735522,0.0010349833,0.0014901885,0.02463537,0.0052445875,0.005225405,0.0012003492,0.0010638204,0.0015513677,0.0010376568,0.0012671364,0.06947399,0.0014937224,0.0009830086,0.01498967,0.0012796267,0.0015133851,0.001197014,0.0014120762,0.0016165429,0.0009786848,0.002845432,0.0020912457,0.0014027255,0.0014292895,0.0012361736,0.02600062,0.0011411867,0.000927298,0.001283696,0.0013684175,0.0075362204,0.0014618197,0.07391674,0.04219516,0.001085359,0.0009693146,0.0015019438,0.0013017476,0.0011584968,0.0012953344,0.0024390833,0.013749659,0.001000187,0.0012873447,0.0017190556,0.0011131141
0,Cardboard,0.070024416,0.00091150275,0.001141451,0.0018519555,0.0013814239,0.0015890639,0.0013015431,0.0014655426,0.0046712332,0.0013821392,0.001270513,0.0011753752,0.0014195937,0.05722093,0.0015961347,0.0012693874,0.0014069069,0.0013849873,0.0011349521,0.0016181731,0.02575958,0.0055948813,0.0055786977,0.001316529,0.0011563458,0.0016794364,0.0011288137,0.0013900143,0.07131919,0.0016160444,0.0010742106,0.015734494,0.0014141216,0.00163618,0.0012978443,0.0015325245,0.0017656703,0.0010595598,0.003053626,0.0022484653,0.0015223186,0.0015697628,0.0013569761,0.027051,0.0012451926,0.0010085703,0.0014141869,0.0015020961,0.007973269,0.0015858823,0.075394355,0.04358517,0.0011829874,0.0010558431,0.0016486619,0.0014243156,0.0012560993,0.0014049502,0.0026218735,0.014425707,0.0010844744,0.00139147,0.001850988,0.0012101561
0,Cardboard,0.044881538,0.006880368,0.00761794,0.025746465,0.01988922,0.015066726,0.010141923,0.027327243,0.012769168,0.03527852,0.010814699,0.010292896,0.019166868,0.039721612,0.0072331093,0.008341934,0.014466183,0.01090955,0.013353943,0.013373961,0.035381585,0.017481813,0.017863782,0.020515861,0.0077201338,0.0096677365,0.0081101,0.020465668,0.043896113,0.0106763225,0.0088394135,0.024194738,0.034034412,0.008698481,0.008862165,0.011620528,0.02238758,0.0055143656,0.011853283,0.009191218,0.009987289,0.029988421,0.019324094,0.026561242,0.01297923,0.006389247,0.031165462,0.028045455,0.01751622,0.012663442,0.0339194,0.036910307,0.010895368,0.008587053,0.03203316,0.018115686,0.0075454162,0.008868613,0.011113316,0.023340778,0.0061773006,0.007743576,0.008819929,0.008679838
0,Cardboard,0.052006137,0.0070244027,0.007836075,0.024517806,0.01891424,0.01487314,0.010279662,0.02540319,0.013745759,0.03188181,0.010912926,0.01029428,0.018435765,0.04593626,0.007640055,0.008572199,0.014219599,0.0110162925,0.013113512,0.0133590875,0.03929905,0.018664908,0.019013014,0.019328259,0.007959351,0.010033121,0.008324599,0.019513343,0.051078126,0.010859394,0.009026731,0.026812771,0.03104248,0.009081247,0.009026646,0.0117566055,0.021428455,0.005780468,0.012576348,0.009733535,0.010293766,0.027647266,0.018590588,0.030208582,0.012732727,0.0066300426,0.028484663,0.025864622,0.019071735,0.01266953,0.040319614,0.041977875,0.01083525,0.008675239,0.029439114,0.017496364,0.0078337435,0.009168982,0.011724743,0.025720451,0.0064608785,0.008029484,0.009222895,0.008872383
0,Cardboard,0.051833786,0.007211597,0.008029757,0.025289914,0.01953838,0.015285218,0.010542936,0.02629899,0.013932507,0.03312079,0.011199296,0.0105817355,0.01902156,0.04583298,0.0077936924,0.008777969,0.014636995,0.011301567,0.013508261,0.013709438,0.039452754,0.018910881,0.019270476,0.019993428,0.008152426,0.010249525,0.008530398,0.020152066,0.05089035,0.011124955,0.009254966,0.026982473,0.032216262,0.009271999,0.009254918,0.012051582,0.022096474,0.0059141074,0.012780396,0.009909271,0.010528669,0.028638572,0.019177672,0.030270204,0.013113901,0.0067904983,0.029555274,0.026802626,0.019267535,0.0130012445,0.04010505,0.041975714,0.011143574,0.008911486,0.030506007,0.018041417,0.008013393,0.009376361,0.011934142,0.025897123,0.006606346,0.00821179,0.009414083,0.009092051
0,Cardboard,0.06859061,0.0007881483,0.0009921067,0.0015726269,0.0011714062,0.0013681328,0.0011256856,0.0012300918,0.004247815,0.0011466225,0.0010942905,0.001012803,0.001203404,0.05577811,0.0014116372,0.0011056499,0.0012062289,0.0011984349,0.0009646938,0.0014012334,0.02429712,0.0050578695,0.0050376235,0.0011131152,0.0010049399,0.0014707672,0.000977872,0.0011751637,0.06997937,0.0014123793,0.00092336716,0.014731619,0.0011740888,0.0014368185,0.0011301226,0.0013291732,0.00150593,0.000930707,0.0027264876,0.0020003724,0.0013251031,0.001319281,0.001146556,0.02587158,0.0010673191,0.00087701064,0.0011795532,0.0012639981,0.0073329727,0.0013759315,0.07499767,0.042154536,0.0010177455,0.0009114784,0.0013858896,0.0012115481,0.0010964714,0.0012243371,0.0023304594,0.013491002,0.000948015,0.0012217893,0.0016373987,0.0010492477
0,Cardboard,0.06757998,0.000782142,0.0009846728,0.0015685055,0.0011683105,0.0013617086,0.0011180223,0.0012280178,0.0042028627,0.0011463943,0.001087056,0.0010069828,0.0011991663,0.0549546,0.0013982407,0.0010979045,0.0012001011,0.0011907648,0.00095957506,0.0013936822,0.023996912,0.0050070668,0.0049862214,0.0011098795,0.0009968313,0.0014589215,0.0009707846,0.0011716194,0.06894874,0.0014031536,0.0009163766,0.014550046,0.0011730035,0.0014250055,0.0011224946,0.0013216233,0.0015008936,0.0009217432,0.0027006536,0.001981405,0.0013153221,0.0013176956,0.0011427255,0.025495553,0.0010621268,0.0008691868,0.0011791533,0.0012623162,0.0072533325,0.0013683881,0.07383111,0.041589387,0.001011976,0.0009053137,0.001384767,0.0012071353,0.0010877661,0.001215253,0.0023098784,0.013338132,0.0009398123,0.0012120693,0.0016241806,0.0010417835
0,Cardboard,0.06781302,0.0007839463,0.0009869002,0.0015703795,0.0011697331,0.0013639319,0.0011203708,0.0012292671,0.0042145313,0.0011472141,0.0010893019,0.0010088851,0.0012008596,0.055145606,0.0014019414,0.0011002504,0.0012021855,0.0011931582,0.00096130994,0.0013961544,0.024069441,0.005020319,0.004999596,0.0011113002,0.0009992037,0.0014623363,0.0009729291,0.0011731477,0.06918638,0.0014059846,0.00091847096,0.014594569,0.001174028,0.0014283913,0.0011248369,0.0013240624,0.0015029145,0.00092424604,0.0027076155,0.001986577,0.0013182265,0.0013188834,0.0011442973,0.025584523,0.0010639274,0.0008714242,0.0011800291,0.0012634962,0.0072735986,0.001370843,0.074098475,0.04172221,0.0010138665,0.00090722425,0.0013859009,0.001208864,0.0010903085,0.0012179475,0.0023155701,0.013376055,0.00094216387,0.0012148931,0.001627966,0.0010440397
0,Cardboard,0.07373679,0.001093004,0.001359942,0.0022484814,0.00167955,0.0019053601,0.0015586318,0.0018006347,0.0053166416,0.0017166416,0.0015285844,0.0014100288,0.0017293617,0.060595136,0.0018713119,0.0015076015,0.0016962093,0.001656224,0.001383286,0.0019299763,0.028222347,0.006410038,0.00640208,0.0016069105,0.0013801049,0.0019871385,0.001350075,0.0016972134,0.074944176,0.0019103241,0.0012979432,0.017376428,0.0017574456,0.0019295628,0.0015408013,0.001824956,0.0021354682,0.0012520852,0.003544005,0.0026188304,0.0018117006,0.0019240242,0.0016593656,0.029268447,0.001500845,0.0012046627,0.001745055,0.001838387,0.008963562,0.0018873537,0.07803388,0.046451945,0.0014217698,0.0012665198,0.0020185558,0.0017287477,0.0014907725,0.0016694845,0.0030535057,0.01592007,0.0012866724,0.0016401613,0.00216325,0.001445519
